"Title","Theme","Category","Publisher","PublicationYear","ISBN","CoverType","CopiesNo","PhotocopiesNo","Topic1","Topic2","Topic3","Author1","Author2","Author3","Author4"
"Technology and the Elderly","The role of Technology in Prolonging the independence of the elderly in the Community care context.","report","Work Research Centre/EKOS/ European Commission","1991","","paperback","1","0","Information Technology","","","Duggan  Carmel","Dolphin  Ciaran","",""
"Technology and the Elderly","The report examines the needs of the elderly living in the community and explores the role of technology in meeting these needs.","report","ECSC-EEC-EAEC","1992","9282648265","paperback","1","0","","","","","","",""
"Technology Assessment: The Challenge for Rehabilitation Engineering","This report concerns technology assessment (box REHAB-2, GROUP-LIB).","report","","1991","","without cover","1","0","","","","","","",""
"Technology for ages 5 to 16 (1992)","Proposals of the Secretary of State for Education and the Secretary of State for Wales.","report","HMSO Publications Centre","1992","0112707092","paperback","1","0","Educational Technology","","","","","",""
"Technology Initiative for Disabled and Elderly People - Bridge Phase - Synopses","Project groupings/ Project synopses. Listing of TIDE pilot phase projects","guide","European Commission","1994","","paperback","1","0","","","","","","",""
"Telecommunication Facilities for People with Special Needs Data Base","ETSI PT6V Data Base","report","ETSI (European Telecommunications Standards Institute)","1991","","paperback","1","0","Disability","","","","","",""
"Telecommunication Facilities for People with Special Needs Stage 1: Standardisation Situation","This report describes a methodology for evaluating the present standardisation situation in Europe of Telecommunication facilities for PSN.","report","ETSI (European Telecommunications Standards Institute)","1991","","paperback","2","0","","","","Hjorne  Flemming","Klaus  Harald","Knight  Jack","Lindstrom  Bjorn"
"Telecommunication for Disabled People - the TDP Report","This report describes telematical systems and devices for disabled persons.","report","Swedish Institute for the Handicapped","1987","","paperback","1","0","","","","","","",""
"Telecommunications-Based Training for the 1990's","Proceedings of the Workshop TBT, in Madrid, January, 21-22 1991.","report","Commission of the European Communities","1991","","paperback","1","0","","","","","","",""
"Telecommunications Technologies to Deliver Assistive Technology Services","This book provides basic information about telecommunications technologies that can be used to deliver training, education, public awareness activities and other technology-related services to distant locations.","report","RESNA Press","1991","","paperback","1","0","","","","","","",""
"Telefoner til alle - Guide til et Handicaprigtigt Telefon  Valg","Telephone Guide for PSN.","directory","Danish Centre","1992","","ντοσιέ","1","0","","","","","","",""
"Telehjaelpemidler","Katalog til valg af telekommunikationshjaelpemidler","directory","","1993","8789407342","paperback","1","0","","","","Bierg  Jorgen","Hoeg  Mogens","Wiederholt  Mogens",""
"Telematic Networks for Flexible and Distance Learning","This report provides an overview of the main implications of the outcome of the DELTA Exploratory Action for future research in the area of telematic systems for flexible and distance learning.","report","Commission of the European Communities","1991","","paperback","1","0","","","","","","",""
"Telematics and Disability in the USA","This report is intended to give an insight into legislation, products, services and research & development in the field of telecommunications in the USA.","report","Swedish Institute for the Handicapped","1990","","paperback","3","0","Disability","","","","","",""
"Telematics Applications Programme (1994-1998) Information Package","Essential Information for Proposers","report","European Commission","1995","","paperback","1","0","","","","","","",""
"Tests with Bit-Saving Video Communication for Sigh Language and Lip Reading","The results of the first phase of the sub-projects, called ISDN Video Communication are summarized in this report.","report","Swedish Institute for the Handicapped","1990","","paperback","1","0","","","","","","",""
"Text Conversation Through Telecommunications Networks COST 220","This report concerns the overall text telephony standardization.","report","Infologics AB/Bellcore","1993","","διαφάνεια","1","0","","","","","","",""
"Text Telephony in ISDN Features-Economics-Implementation","This report gives an initial overview of the possible advantages and possibilities for the implementation of text telephony in ISDN, and to propose actions for the future.","report","Swedish Telecom/Infologics AB","1992","11029609","paperback","2","0","","","","","","",""
"Textual and Graphic User Interfaces for Blind People Six-Montly Report","This report concerns the accessibility of graphic user interfaces by blind users.","report","GUIB Consortium","1992","","paperback","1","0","","","","Bornschein  J.","Gunzenhauser  R.","Stephanidis  Constantine","Gill M. John"
"That an Icon-based Interface Assists the User of a Computer System in Relating Previous Knowledge an","This report examines the way in which icons act as encapsulated shorthand for previous knowledge and experience .","report","University of Kent","1988","","spiral","0","1","","","","","","",""
"The 1987 Computer Human Factors Classification and Thesaurus and the Collation of Computer Human Fac","Report on the collection of Computer Human Factors (CHF) information.","report","ESPRIT","1987","","διαφάνεια","1","0","","","","","","",""
"The Adaptation of Cars for Paralysed Persons","Proceedings of the workshop held at the Vocational Rehabilitation Centre in Heidelberg, West Germany","proceedings","Commission of the European Communities COMAC BME","1988","8885936016","paperback","2","0","","","","","","",""
"The AI Directory 1995-1996","The Societies: American Association for Artificial Intelligence/ ACM Special Interest Group in Artificial Intelligence (SIGART)/ Canadian Society for Computational Studies of Intelligence/ Fellows/ Members","directory","AAAI Press","1995","","paperback","1","0","","","","","","",""
"The Aid's Requirements of Children with Several Multiple Handicaps and the People Looking After Them","Results of interviews with 10 fammilies concerning handicap aids","report","Swedish Institute for the Handicapped","1984","","paperback","1","0","","","","Brodin  Jane","","",""
"The ATM Test-bed in the CNR Telecommunication Project: A First Demonstration","This report is focused on a broadband communication experiments carried out in this framework and referred to the activities of the Telecommunication Project.","report","CNR","1992","","without cover","1","0","","","","","","",""
"The Bangor Dyslexia Teaching System","This book outlines principles of teaching and teaching techniques, for any teacher or speech therapist who is involved in teaching dyslexic children.","book","","1978","","spiral","0","1","Disability","","","","","",""
"The Barclays Guide to Marketing for the Small Business","This book is a guide to marketing for small businesses.","book","Basil Blackwell Ltd","1990","0631172475","paperback","1","0","","","","","","",""
"The C User's Group Library A Directory of Public Domain C Source Code","This book catalogs and indexes the first 99 volumes of the C User's Group Library.","book","The C User's Group","1986","0923667008","paperback","1","0","","","","Stucky Ward  Donna","","",""
"The C User's Group Library A Directory of User-Supported C Source Code Volume II","This book catalogs and indexes volumes 200-249 of the C Users' Group Library","book","R & D Publications","1989","0923667024","paperback","1","0","","","","","","",""
"The C User's Group Library A Directory of User-Supported C Source Code Volume III","This book catalogs and indexes volumes 250-299 of the C Users' Group Library.","book","R & D Publications","1992","0923667032","paperback","1","0","","","","Ward  Robert","","",""
"The C User's Group Library A Directory of User-Supported C Source Code Volume IV","This book catalogs and indexes volumes 300-349 of the C Users' Group Library.","book","R & D Publications","1992","0923667040","paperback","1","0","","","","","","",""
"The C++ Answer Book","This book includes numerous examples and a significant amount of code that will assist all programmers who want to expand their applications of the C++ language.","book","At&t Bell Telephone Laboratories","1990","0201114976","paperback","1","0","","","","Hansen L. Tony","","",""
"The Chord Keyboard Report - Writing Clear Text with the Speed of Speech","This report is primarily focussed on Service to Disabled People applications.","report","Swedish Institute for the Handicapped","1988","","paperback","1","0","","","","Dopping  Olof","","",""
"The Computer Users Year Book 1989 Equipment","Industry information, Computers systems, Computer peripherals and data preparation equipment, Communications equipment and services, Addresses of manufactures.","book","VNU Business Publications","1988","0862710901","paperback","1","0","","","","","","",""
"The Computer Users Year Book 1989 Installations","Installations by post town, Index by manufacturer name, Index by time sold, Alphabetical index, Cross-reference listings.","book","VNU Business Publications","1988","0862710928","paperback","1","0","","","","","","",""
"The Computer Users Year Book 1989 Services","Insurance services, Disaster recovery, Maintenance, Service bureaux, Facilities management, Data preparation services, Training services, Market research.","book","VNU Business Publications","1988","086271091X","paperback","1","0","","","","","","",""
"The Computer Users Year Book 1989 Suppliers Guide","Computer systems and hardware, Communications hardware, systems and interfaces, Consumables, Forms handling and microform, Security and safety, Special purpose equipment and services, Supplier details.","book","VNU Business Publications","1988","0862710936","paperback","1","0","","","","","","",""
"The Concept of Dual Interfaces and the Design of a UIMS-based Development Framework","This thesis concerns the design of a novel interface development architecture.","report","","Feb 1994","","hardbound","1","0","","","","","","",""
"The Concerned Technology Electronics Aids for those with Special Needs","This catalogue aims to inform the general public, parents, professionals and disabled people themselves of the latest developments of Information Technology aids for those with special needs through 'hands on' experience.","book","Newcastle","1984","","paperback","1","0","Technical Aids","","","Hymas  Mel","Jannsen  Frists","McCann  John","Sandhu S. Jim"
"The DataComms Book 1989","Equipment and systems section, Services section, Comms Software, Suppliers Guide, Major Comms sites, Supplier details.","book","VNU Business Publications","1988","0862710952","paperback","1","0","","","","","","",""
"The Developing Child","Two of the most powerful resources in child development education have now joined forces to create an unprecedented multidimensional educational tool.","book","Harper Collins Publishers","1991","0065013646","hardbound","1","0","","","","","","",""
"The Economic Dynamics of the Conformance Testing Services Industry in Europe : Strategy and Policy f","The present document constitutes the final report of the study entitled ""The Economic Dynamics of the CTS Industry in Europe : Strategy and Policy for the Next Decade"".","report","","1991","","spiral","0","1","","","","","","",""
"The ESPRIT Programme","Proposer's Day List of Participants","directory","Commission of the European Communities","","","paperback","1","0","","","","","","",""
"The ESPRIT Programme Project Synopses ESPRIT Projects Index and Associated Sub-Programme Overviews","Esprit projects","guide","Commission of the European Communities","1987","","paperback","1","0","","","","","","",""
"The Europe 1992 Directory A Research and Information Guide","This guide is intended as a starting-point for people in business, employment, training, education and research, whose work requires them to seek information about the completion of the European market by 1992.","directory","ITCU and Coventry Polytechnic","1992","0905949072","paperback","1","0","","","","Hoskyns  Catherine","","",""
"The European Community: A Guide to the Maze","The message of this book is that the politically-inspired processes of change in Erope are occurring and moving at a rapid pace.","book","British Library Cataloguing","1989","0749400234","spiral","0","2","","","","","","",""
"The Handbook of Clinical Types in Medical Retardation","This book is intended to provide in an organized and illustrated manner, the essential physical, neurological, mental, behavioral, health and etiological information required by the professional worker for evaluation and program planning.","book","Allyn and Bacon","1982","0205076416","spiral","0","1","","","","","","",""
"The Human Factors of Graphic Interaction Tasks and Techniques","The purpose of this report is to provide a user with a medium for communication with a computer which is at once benign, responsive and graphic.","report","George Washington University","1981","","paperback","1","0","","","","Wallace L. Victor","Chan  Peggy","",""
"The Intellect and Intellectual Handicaps","This booklet describes the perspective of Piagets's theory of intellectural development capacity.","report","Swedish Institute for the Handicapped","1983","","paperback","1","0","Disability","","","Brodin  Jane","","",""
"The New Collins Thesaurus","This Thesaurus provides over 275000 alternatives for 16000 main entry words, an average of 17 substitutes for every entry word.","book","Collins Publishers","1984","0004330587","hardbound","1","0","","","","","","",""
"The Oxford Combined Dictionary of Current English & Modern English Usage","In this dictionary, the compilers have tried to present the maximum amount of useful information on present-day English that can be got into an easily partable volume.","book","Chancellor Press","1987","1851520627","hardbound","1","0","","","","Sykes B. J.","","",""
"The Penguin Modern Guide to Synonyms and Related Words","This book provides a group of synonyms, a full and clear definition of each word in the group, examples of the different ways in which the words can be used and a list of antonyms.","book","Penguin Books","1987","014051189X","paperback","1","0","","","","Fletcher J. P.","","",""
"The Picture Communication Symbols Book II","This book is designed to provide additional symbols to the original PCS.","book","Mayer-Johnson Company","1985","0960916016","spiral","0","1","","","","","","",""
"The Pyramid Principle Logic in Writing and Thinking","This book teaches business people how to write complex reports, analyses and presentations so that can be clearly understood.","book","Pitman Publishing","1987","027303345X","hardbound","1","0","","","","","","",""
"The SGML Handbook","This book contains all of the text of ISO 8879-the SGML standard-extensively annotated, together with a structured overview and additional tutorial and reference material of SGML","book","Oxford University Press","1990","0198537379","without cover","0","1","","","","Rubinsky  Yuri","","",""
"The Software Users Year Book 1990 General Applications Software","Software written for a range of industries together with indexes by category, manufacturer and operating system.","book","VNU Business Publications","1989","0862710995","paperback","1","0","","","","","","",""
"The Software Users Year Book 1990 Industry-Specific Software","Software written for specific industries and professions with indexes by industry, application, manufacturer and operating system.","book","VNU Business Publications","1989","0862710987","paperback","1","0","","","","","","",""
"The Software Users Year Book 1990 Software Suppliers & Services","Contains master profiles of all companies and lists of products and services they supply, the services sections and an A-Z of all products in the book.","book","VNU Business Publications","1989","0862710960","paperback","1","0","","","","","","",""
"The Software Users Year Book 1990 Systems Software","Software listings of all systems products together with indexes by category, manufacturer and operating system.","book","VNU Business Publications","1989","0862710979","paperback","1","0","","","","","","",""
"The TIDE GUIB Project","This document is a brief outline of GUIB Project.","report","GUIB Consortium","1992","","paperback","3","0","","","","","","",""
"The UCLA/LAUSD Microcomputer Project","Policy/Information, Technical Support, Orders/Inquiries","directory","UCLA","1993","","διαφάνεια","1","0","","","","Howard  Judy","","",""
"The Use of Terminals by Visually Disabled Persons","This report includes papers of a Workshop that his basic goal is to identify priorities for future research on terminals for use by visually disabled persons.","report","RNIB (Royal National Institute for the Blind)","1989","0901797472","spiral","1","0","","","","","","",""
"The Verbo-Tonal Method for Rehabilitating People with Communication Problems","This report concerns communication needs of individuals with hearing impairments.","report","Int.Exchange of Information in Rehabilition","1983","","paperback","1","0","","","","Asp W. Carl","","",""
"The Verbotonal Method in Rehabilitation of Hearing and Speech Problems and a Method in Language Teac","I. Theoretical basis of the verbotonal method II. The method of education and rehabilitation of speech","report","The Center of Research of Special Education and School Adaptation","1972","","without cover","1","0","","","","","","",""
"The Visually Handicapped Child in Your Classroom","In this book the term 'visually handicapped' is used to describe those children whose vision impairment interferes with their ability to learn and achieve.","book","Cassell Publishers Ltd","1988","0304314005","paperback","1","0","Disability","","","Stone M. Juliet","","",""
"Third International Conference on Image Processing and its Applications","These Proceedings of the third international conference on image processing and its applications.","proceedings","IEE","1989","0852963823","paperback","1","0","Graphics Programming","","","","","",""
"TIDE 2ND Phase Workplan Draft","This document is structured in three parts 1. Rationale and Overview 2. Description of the scope of the R&D Work 3. R&D Task descriptions.","report","Commission of the European Communities","1992","","paperback","1","0","","","","","","",""
"TIDE Pilot Action Synopses","This booklet presents the updated synopses of the 21 projects funded in the TIDE Pilot Action","guide","Commission of the European Communities","1993","9282657051","paperback","1","0","","","","","","",""
"TIDE Pilot Action The Synopses","This booklet presents the synopses of the 21 projects funded in the TIDE Pilot Action.","guide","Commission of the European Communities","1992","","spiral","1","0","","","","","","",""
"Toolrange 1982-83","This catalogue contains 2500 high quality line products for use within the Electrical and Electronics industries.","directory","Direct Sales Lines","","","paperback","1","0","","","","","","",""
"Towards Third Generation Mobile Communications (A Report from the RACE Workshop)","It contains a selection of papers presented at the Workshop: ""Towards Third Generation Mobile Communications"", held in Brussels on 2nd July 1990.","report","Commission of the European Communities","1990","","paperback","1","0","","","","Thomsen Chr. Tom","","",""
"TPD Annual Report 1993","In this Annual Report 1993, we want to bring you up to date on the TPD activities as well as the latest technological developments.","report","TNO Institute of Applied Physics","1993","","paperback","1","0","","","","","","",""
"Tricks of the Graphics Gurus","Συνοδεύεται από δύο δισκέτες που περιέχουν graphics programs. This book focuses on graphics techniques, issues, and algorithms.","book","Sams Publishing","1993","0672303086","paperback","1","0","","","","Anderson  Scott","Zigon  Bob","McCord  James","Gumas  Spyro"
"Tutorial: Human Factors in Software Engineering","I. Cognitive Models of Programmming Knowledge. II. Learning to Program. III. Problem Solving and Design (3 volumes).","book","IEEE Computer Society Press","1985","0818605774","spiral","0","1","","","","","","",""
"UK Organizations for Visually Disabled People","This book aims to list the main organiazations in the UK which offer a service to visually impaired people.","book","RNIB Technical R&D Department","1991","0901797677","paperback","1","0","","","","Butcher  G.","","",""
"UK Organizations for Visually Disabled People","This book lists the main organizations in the United Kingdom which offer a service to visually impaired people.","book","RNIB Technical R&D Department","1992","090179788X","paperback","1","0","","","","","","",""
"Usability Measurement A Practical Guide HCI International'95","Tutorial notes on HCI International'95","book","Crown","1995","","διαφάνεια","0","1","","","","","","",""
"Usability Now! IT and the User Working Together","Usability Now! covers a wide range of topics in HCI aimed at IT practioners as well as managers with overall responsibility for the specification, design, manufacture, implementation or use of IT systems.","guide","DTI (Department of Trade and Industry)","1990","","paperback","1","0","","","","","","",""
"User Interface Development","This book covers the issues, information sources and methods used in the design, implementation and evaluation of user interfaces, the parts of software systems designed to interact with people.","report","Carnegie Mellon University Press","1989","","spiral","0","2","","","","","","",""
"User Interface Management Systems","This book contains the proceedings and reports of the ""Workshop on User Interface Management Systems"", held in Seeheim, Federal Republic of Germany, November 1-3, 1983.","book","Springer-Verlag Berlin","1985","354013803X","spiral","0","1","","","","","","",""
"User Interface Taxonomy ECMA TR/61","ECMA Technical Report","report","","1992","","without cover","1","0","","","","","","",""
"Videoconferencing Guidelines for User Organisations and Service Providers","This report is a complete set of videoconferencing guidelines in two parts; one for user organisations and the other for service providers.","report","HUSAT Research Centre","","","paperback","2","0","","","","","","",""
"Virtual Reality and Disability","Proceedings from The First Nordic Conference on Virtual Reality and Disability, Stockholm, 1993.","proceedings","Stockholm University","1993","","paperback","1","0","Disability","","","Magnusson  Magnus","","",""
"Virtual Reality and Persons with Disabilities","Proceedings of the Conference that deals with Virtual Reality and Disabilities, held at the Los Angeles March 18-21, 1992","proceedings","Office of Disabled Student Services","1992","","paperback","1","0","","","","","","",""
"Visits to Institutes and Research Establishments in the Netherlands and West Germany","This report details the organisations visited, the work being done and possible areas of future collaboration with the Devices Development Section of the RNIB.","report","RNIB Technical R&D Department","1989","","spiral","1","0","","","","","","",""
"Visits to Research Establishments and Organisations Concerned with Blindness in California, USA (May","This report details the organisations visited, the work being done, and/or current products that are being made.","report","RNIB Technical R&D Department","1989","","spiral","1","0","","","","","","",""
"Visits to Swedish Institutes for the Disabled","This report details the organisations visited and the work being performed in Sweden within the field of technology and blindness.","report","RNIB Technical R&D Department","1989","","spiral","1","0","","","","","","",""
"Visual, Mental, Impaired, Elderly People and Picture Communication","This report is concerned with how the transition to IBC affects the implementation of videotelephony services for users and people with special needs.","report","Universidade Tecnica de Lisboa","1993","","paperback","1","0","Disability","","","Pocha  Nelson","Cidade  Clara","Lebre  Paula","Purificacao Joao M."
"Visually Impaired, Mentally Retarded, Elderly People and Picture Communication","This report refers to the results of the experiments on Learning and Training at distance, remote delivery of expertise, monitoring and remote care with target groups including mentally retarded, visually impaired and elderly people.","report","Universidade Tecnica de Lisboa","1994","","paperback","1","0","","","","Pocha  Nelson","Cidade  Clara","Lebre  Paula","Purificacao Joao M."
"Vocational Assessment and Evaluation","Report of the Seminar of the Vocational Commission meeting held 27-28 September 1991. Three Key topics were: Organization models, Methods and measures, Target groups.","report","Hoensbroek","1992","","διαφάνεια","1","0","","","","","","",""
"VTT Medical Engineering Laboratory Annual Report 1990","This Annual Report Describes the activities of the Medical Engineering Laboratory during 1990.","report","VTT","1990","","paperback","1","0","","","","","","",""
"Wheelchair Mobility","This report includes research and development, dissemination and training activities of the University of Virginia Rehabilitation Engineering Centre.","report","Rehabilitation Engineering Centre","1991","","paperback","1","0","","","","","","",""
"Wheelchairs Testing in Europe","Proceedings of the workshop held in Milano, March 1990","proceedings","Commission of the European Communities COMAC BME","1990","8885936091","paperback","1","0","","","","Andrich  Renzo","","",""
"Wheelchairs: Research, Evaluation and Information","Proceedings of the workshops held in Berlin, October 1985 & Hoensbroek, October 1986 concerning the Evaluation of Assistive Devices.","proceedings","Commission of the European Communities/COMAC BME","1988","8885936008","paperback","1","0","","","","","","",""
"Windows Concepts: An Introductory Guide for Visually Disabled Users","This book helps to relieve some of the problems visually disabled people are currently facing with the increased popularity of Microsoft Windows (Το συνοδεύουν δύο δισκέτες).","book","GUIB Consortium","1995","1858780675","paperback","3","0","","","","","","",""
"With a Little Help from the Chip","This booklet will outline the special advantages and uses of micro technology for people with disabilities and handicaps.","book","British Broadcasting Corporation","1985","","διαφάνεια","0","1","","","","Robins  Cath","Auckland  George","",""
"Writing Games","This book is a collection of 40 games and creative activities for low intermediate to advanced students of English.","book","Nelson","1990","0175558981","spiral","1","0","","","","Hadfield  Jill","","",""
"Writing Reports to Get Results: Quick, Effective Results Using the Pyramid Method, Second Edition","This book provides sample reports and proposals for all types of situations, from inspecting a contractor's work to proposing a new computer system.","book","IEEE Press","1995","0780310195","paperback","1","0","","","","Moretto A. Lisa","","",""
"X Window System C Library and Protocol Reference","This book consists of two parts: Part I is a reference manual for the C language X Interface library and Part II is the X protocol specification.","book","MIT Press/Digital Equipment Corporation","1988","1555580122","spiral","0","1","","","","Newman  Ron","","",""
"Zukunftige Entwicklung von Telekommunikations-und Teleinformatik-Einrichtungen fur Behinderte","Report που αναφέρεται στη μελλοντική εξέλιξη των τηλεπικοινωνιών και της τηλεπληροφορικής εστιασμένο στα άτομα με ειδικές ανάγκες.","report","DBP TELEKOM COST 219","1988","","ντοσιέ","1","0","Telecommunications","","","","","",""
