Author1,Author2,Author3,Author4,Category,CopiesNo,CoverType,ISBN,PhotocopiesNo,PublicationYear,Publisher,Theme,Title,Topic1,Topic2,Topic3
,,,,guide,1,spiral,,0,1992,commission of the european communities,this booklet presents the synopses of the 21 projects funded in the tide pilot action.,tide pilot action the synopses,,,
,,,,directory,1,paperback,,0,,direct sales lines,this catalogue contains 2500 high quality line products for use within the electrical and electronics industries.,toolrange 1982-83,,,
thomsen chr. tom,,,,report,1,paperback,,0,1990,commission of the european communities,"it contains a selection of papers presented at the workshop: ""towards third generation mobile communications"", held in brussels on 2nd july 1990.",towards third generation mobile communications (a report from the race workshop),,,
,,,,report,1,paperback,,0,1993,tno institute of applied physics,"in this annual report 1993, we want to bring you up to date on the tpd activities as well as the latest technological developments.",tpd annual report 1993,,,
anderson  scott,zigon  bob,mccord  james,gumas  spyro,book,1,paperback,0672303086,0,1993,sams publishing,"συνοδεύεται από δύο δισκέτες που περιέχουν graphics programs. this book focuses on graphics techniques, issues, and algorithms.",tricks of the graphics gurus,,,
,,,,book,0,spiral,0818605774,1,1985,ieee computer society press,i. cognitive models of programmming knowledge. ii. learning to program. iii. problem solving and design (3 volumes).,tutorial: human factors in software engineering,,,
butcher  g.,,,,book,1,paperback,0901797677,0,1991,rnib technical r&d department,this book aims to list the main organiazations in the uk which offer a service to visually impaired people.,uk organizations for visually disabled people,,,
,,,,book,1,paperback,090179788x,0,1992,rnib technical r&d department,this book lists the main organizations in the united kingdom which offer a service to visually impaired people.,uk organizations for visually disabled people,,,
,,,,book,0,διαφάνεια,,1,1995,crown,tutorial notes on hci international'95,usability measurement a practical guide hci international'95,,,
,,,,guide,1,paperback,,0,1990,dti (department of trade and industry),"usability now! covers a wide range of topics in hci aimed at it practioners as well as managers with overall responsibility for the specification, design, manufacture, implementation or use of it systems.",usability now! it and the user working together,,,
,,,,report,0,spiral,,2,1989,carnegie mellon university press,"this book covers the issues, information sources and methods used in the design, implementation and evaluation of user interfaces, the parts of software systems designed to interact with people.",user interface development,,,
,,,,book,0,spiral,354013803x,1,1985,springer-verlag berlin,"this book contains the proceedings and reports of the ""workshop on user interface management systems"", held in seeheim, federal republic of germany, november 1-3, 1983.",user interface management systems,,,
,,,,report,1,without cover,,0,1992,,ecma technical report,user interface taxonomy ecma tr/61,,,
,,,,report,2,paperback,,0,,husat research centre,this report is a complete set of videoconferencing guidelines in two parts; one for user organisations and the other for service providers.,videoconferencing guidelines for user organisations and service providers,,,
magnusson  magnus,,,,proceedings,1,paperback,,0,1993,stockholm university,"proceedings from the first nordic conference on virtual reality and disability, stockholm, 1993.",virtual reality and disability,disability,,
,,,,proceedings,1,paperback,,0,1992,office of disabled student services,"proceedings of the conference that deals with virtual reality and disabilities, held at the los angeles march 18-21, 1992",virtual reality and persons with disabilities,,,
,,,,report,1,spiral,,0,1989,rnib technical r&d department,"this report details the organisations visited, the work being done and possible areas of future collaboration with the devices development section of the rnib.",visits to institutes and research establishments in the netherlands and west germany,,,
,,,,report,1,spiral,,0,1989,rnib technical r&d department,"this report details the organisations visited, the work being done, and/or current products that are being made.","visits to research establishments and organisations concerned with blindness in california, usa (may",,,
,,,,report,1,spiral,,0,1989,rnib technical r&d department,this report details the organisations visited and the work being performed in sweden within the field of technology and blindness.,visits to swedish institutes for the disabled,,,
pocha  nelson,cidade  clara,lebre  paula,purificacao joao m.,report,1,paperback,,0,1993,universidade tecnica de lisboa,this report is concerned with how the transition to ibc affects the implementation of videotelephony services for users and people with special needs.,"visual, mental, impaired, elderly people and picture communication",disability,,
pocha  nelson,cidade  clara,lebre  paula,purificacao joao m.,report,1,paperback,,0,1994,universidade tecnica de lisboa,"this report refers to the results of the experiments on learning and training at distance, remote delivery of expertise, monitoring and remote care with target groups including mentally retarded, visually impaired and elderly people.","visually impaired, mentally retarded, elderly people and picture communication",,,
,,,,report,1,διαφάνεια,,0,1992,hoensbroek,"report of the seminar of the vocational commission meeting held 27-28 september 1991. three key topics were: organization models, methods and measures, target groups.",vocational assessment and evaluation,,,
,,,,report,1,paperback,,0,1990,vtt,this annual report describes the activities of the medical engineering laboratory during 1990.,vtt medical engineering laboratory annual report 1990,,,
,,,,report,1,paperback,,0,1991,rehabilitation engineering centre,"this report includes research and development, dissemination and training activities of the university of virginia rehabilitation engineering centre.",wheelchair mobility,,,
andrich  renzo,,,,proceedings,1,paperback,8885936091,0,1990,commission of the european communities comac bme,"proceedings of the workshop held in milano, march 1990",wheelchairs testing in europe,,,
,,,,proceedings,1,paperback,8885936008,0,1988,commission of the european communities/comac bme,"proceedings of the workshops held in berlin, october 1985 & hoensbroek, october 1986 concerning the evaluation of assistive devices.","wheelchairs: research, evaluation and information",,,
,,,,book,3,paperback,1858780675,0,1995,guib consortium,this book helps to relieve some of the problems visually disabled people are currently facing with the increased popularity of microsoft windows (το συνοδεύουν δύο δισκέτες).,windows concepts: an introductory guide for visually disabled users,,,
robins  cath,auckland  george,,,book,0,διαφάνεια,,1,1985,british broadcasting corporation,this booklet will outline the special advantages and uses of micro technology for people with disabilities and handicaps.,with a little help from the chip,,,
hadfield  jill,,,,book,1,spiral,0175558981,0,1990,nelson,this book is a collection of 40 games and creative activities for low intermediate to advanced students of english.,writing games,,,
moretto a. lisa,,,,book,1,paperback,0780310195,0,1995,ieee press,"this book provides sample reports and proposals for all types of situations, from inspecting a contractor's work to proposing a new computer system.","writing reports to get results: quick, effective results using the pyramid method, second edition",,,
newman  ron,,,,book,0,spiral,1555580122,1,1988,mit press/digital equipment corporation,this book consists of two parts: part i is a reference manual for the c language x interface library and part ii is the x protocol specification.,x window system c library and protocol reference,,,
,,,,report,1,ντοσιέ,,0,1988,dbp telekom cost 219,report που αναφέρεται στη μελλοντική εξέλιξη των τηλεπικοινωνιών και της τηλεπληροφορικής εστιασμένο στα άτομα με ειδικές ανάγκες.,zukunftige entwicklung von telekommunikations-und teleinformatik-einrichtungen fur behinderte,telecommunications,,
